Ticker,Cum_Buy_%,Total_Score,Momentum_Score,Price,Buy_5m_%,Buy_1h_%,Buy_6h_%,Buy_1d_%,Buy_3d_%,Short_Term,Medium_Term,Long_Term
OBOR,68.31,52.18,46.01,28.16,79.12,63.67,63.67,63.67,63.67,50.98,98.44,12.45
AVXC,74.1,62.95,45.98,72.98,100.0,42.05,74.65,74.65,74.65,64.46,100.0,29.59
DMAR,70.32,58.25,45.98,43.28,69.04,72.43,69.99,69.99,69.99,43.62,86.63,42.56
UDEC,79.8,59.35,45.97,39.8,100.0,74.89,69.05,69.05,69.05,48.6,87.38,41.55
TRFM,69.77,54.66,45.93,50.9,71.23,72.04,67.53,67.53,67.53,64.38,88.27,19.17
BCHI,98.04,65.57,45.78,34.6,100.0,97.2,97.2,97.2,97.2,65.64,100.0,35.41
IGLB,74.01,48.17,45.77,49.96,100.0,74.72,56.27,55.47,57.2,72.31,51.53,30.14
SPWO,70.71,62.38,45.73,30.08,100.0,69.41,51.92,51.87,51.87,61.69,98.4,31.3
ENFR,68.8,52.04,45.71,37.41,100.0,68.13,48.55,46.91,49.39,18.79,100.0,30.86
DTCR,65.37,56.98,45.59,26.45,100.0,58.29,43.77,44.27,54.32,64.75,100.0,14.47
PHDG,85.49,51.96,45.57,38.67,89.34,83.84,83.84,83.84,83.84,43.35,80.68,32.22
NBJP,82.82,65.49,45.48,34.22,100.0,75.45,75.45,75.45,75.45,65.13,100.0,35.52
IXN,69.72,66.5,45.47,108.91,100.0,67.6,50.0,50.79,52.39,69.31,89.33,44.77
PQAP,80.33,56.73,45.43,30.22,70.36,84.61,84.61,84.61,84.61,37.07,89.37,40.45
EMCS,84.1,56.48,45.3,39.69,78.39,86.55,86.55,86.55,86.55,69.25,100.0,10.42
EMSF,67.71,62.02,45.27,33.79,66.3,68.31,68.31,68.31,68.31,70.89,100.0,23.25
XAUG,69.1,56.02,45.25,37.91,77.37,65.55,65.55,65.55,65.55,46.51,80.62,40.45
MEMS,86.0,56.87,45.17,28.18,85.73,86.11,86.11,86.11,86.11,64.92,86.2,26.18
DECW,65.77,57.69,45.13,34.17,81.33,61.41,57.81,57.81,57.81,46.81,84.18,41.32
ZSEP,89.94,51.32,45.13,27.02,100.0,85.63,85.63,85.63,85.63,40.84,70.95,40.69
MMSC,67.18,50.94,45.13,25.41,89.36,60.76,55.97,55.97,55.97,65.51,92.52,5.45
IBRN,87.8,53.26,45.12,33.38,100.0,82.57,82.57,82.57,82.57,55.7,100.0,10.84
